"Name","target_state","total_seconds"
"autumn-dragon-4349","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")",""
"stellar-paper-4348","sconf_image(""hard/pills.png"")","999.077998161316"
"warm-music-4347","sconf_image(""hard/arch.png"")","552.2400000095367"
"different-dragon-4346","sconf_image(""hard/water.png"")","426.5300002098083"
"treasured-surf-4345","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","1238.7579989433289"
"fiery-vortex-4344","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","753.8949990272522"
"exalted-sun-4343","sconf_image(""hard/pills.png"")","1097.5369999408722"
"proud-mountain-4342","sconf_image(""hard/arch.png"")","625.9940001964569"
"comic-dust-4341","sconf_image(""hard/water.png"")","346.5129985809326"
"devout-fire-4340","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","1981.3659999370575"
"good-disco-4339","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","927.9889969825743"
"earthy-fire-4338","sconf_image(""hard/pills.png"")","936.57200217247"
"pretty-violet-4337","sconf_image(""hard/arch.png"")","636.7159993648529"
"frosty-smoke-4336","sconf_image(""hard/water.png"")","384.63899850845337"
"atomic-oath-4335","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","1529.369000196457"
"earnest-paper-4334","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","945.7249958515168"
"quiet-butterfly-4333","sconf_image(""hard/pills.png"")","896.3269975185394"
"still-moon-4332","sconf_image(""hard/arch.png"")","643.9190013408661"
"polar-feather-4331","sconf_image(""hard/water.png"")","394.3539996147156"
"hearty-sun-4330","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","1440.7560000419617"
"usual-vortex-4329","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","772.6310017108917"
"good-flower-4328","sconf_image(""hard/pills.png"")","964.6399962902068"
"restful-violet-4327","sconf_image(""hard/arch.png"")","623.69899559021"
"divine-music-4326","sconf_image(""hard/water.png"")","355.1320016384125"
"misty-salad-4325","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","1566.8619804382324"
"glorious-feather-4324","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","703.4069964885712"
"sparkling-breeze-4323","sconf_image(""hard/pills.png"")","884.2399973869324"
"happy-sponge-4322","sconf_image(""hard/arch.png"")","544.9730010032654"
"radiant-cherry-4321","sconf_image(""hard/water.png"")","383.2919964790344"
"drawn-frog-4320","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","1440.2949998378754"
"faithful-donkey-4319","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","889.5329990386963"
"fast-breeze-4318","sconf_image(""hard/pills.png"")","904.1499998569489"
"fresh-haze-4317","sconf_image(""hard/arch.png"")","594.8960011005402"
"lively-violet-4316","sconf_image(""hard/water.png"")","386.9680001735687"
"wandering-flower-4315","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","1670.1559987068176"
"light-night-4314","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","873.1140015125275"
"playful-plant-4313","sconf_image(""hard/pills.png"")","1091.3709998130798"
"brisk-shape-4312","sconf_image(""hard/arch.png"")","488.2609975337982"
"drawn-galaxy-4311","sconf_image(""hard/water.png"")","402.5189871788025"
